air_conditioner,bath_num,chimney,condition,garage,garden,house_type,m2_real,price,room_num,storage_room,swimming_pool,terrace,latitude,longitude,address,p_code,region,municipality
0,2,0,Resale,Not Included,0,Apartment,78,361000.0,3,0,0,0,43.26436140000001,-2.9411468,"65, Gran Vía Don Diego López de Haro, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48011, España",48011,País Vasco,Abando
0,2,0,Fixer-upper,Not Included,0,Apartment,98,315000.0,3,0,0,0,43.2609464,-2.9468633,"31, Avenida Sabino Arana, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48013, España",48013,País Vasco,Abando
0,4,0,Resale,Included,0,Apartment,170,865000.0,5,1,0,1,43.2603688,-2.9472013,"Avenida Sabino Arana, Garellano, Basurtu-Zorrotza, Bilbao, Vizcaya, País Vasco, 48010, España",48010,País Vasco,Vizcaya
0,2,0,Fixer-upper,Not Included,0,Apartment,160,675000.0,4,0,0,0,43.2631461,-2.946228,"Sabino Arana, Calle Licenciado Poza, Garellano, Basurtu-Zorrotza, Bilbao, Vizcaya, País Vasco, 48011, España",48011,País Vasco,Vizcaya
0,1,0,Resale,Not Included,0,Apartment,55,295000.0,1,0,0,0,43.26436140000001,-2.9411468,"65, Gran Vía Don Diego López de Haro, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48011, España",48011,País Vasco,Abando
0,5,0,Fixer-upper,Included,0,Apartment,223,1850000.0,5,1,0,0,43.2632025,-2.939327,"5, Alameda Gregorio de la Revilla, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48011, España",48011,País Vasco,Abando
0,3,0,Resale,Not Included,0,Apartment,168,740000.0,4,1,0,0,43.2622534,-2.9416534,"46, Calle Licenciado Poza, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48011, España",48011,País Vasco,Abando
0,1,0,Resale,Not Included,0,Apartment,45,295000.0,1,0,0,0,43.2589165,-2.9372141,"28, Alameda San Mamés, Autonomia, Abando, Bilbao, Vizcaya, País Vasco, 48010, España",48010,País Vasco,Abando
0,5,0,Fixer-upper,Included,0,Apartment,220,1850000.0,5,1,0,1,43.2632025,-2.939327,"5, Alameda Gregorio de la Revilla, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48011, España",48011,País Vasco,Abando
0,2,0,Resale,Separate Purchase,0,Apartment,85,358000.0,3,0,0,0,43.2589165,-2.9372141,"28, Alameda San Mamés, Autonomia, Abando, Bilbao, Vizcaya, País Vasco, 48010, España",48010,País Vasco,Abando
0,1,0,Fixer-upper,Not Included,0,Apartment,55,225000.0,2,0,0,0,43.2586235,-2.9439637,"7, Calle General Eguía, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48010, España",48010,País Vasco,Abando
0,2,0,Resale,Not Included,0,Apartment,170,540000.0,3,0,0,0,43.26436140000001,-2.9411468,"65, Gran Vía Don Diego López de Haro, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48011, España",48011,País Vasco,Abando
0,2,0,Fixer-upper,Not Included,0,Apartment,146,450000.0,4,0,0,0,43.2610927,-2.9409732,"60, Alameda Urquijo, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48011, España",48011,País Vasco,Abando
0,1,0,Resale,Not Included,0,Apartment,65,185000.0,2,0,0,0,43.2590012,-2.9462833,"Avenida del Ferrocarril, Garellano, Basurtu-Zorrotza, Bilbao, Vizcaya, País Vasco, 48010, España",48010,País Vasco,Vizcaya
0,2,0,Fixer-upper,Not Included,0,Apartment,120,350000.0,4,1,0,1,43.2662644,-2.9338034,"12, Alameda Recalde, Abando, Bilbao, Vizcaya, País Vasco, 48009, España",48009,País Vasco,Abando
0,2,0,Resale,Not Included,0,Apartment,80,335000.0,2,0,0,1,43.2609464,-2.9468633,"31, Avenida Sabino Arana, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48013, España",48013,País Vasco,Abando
